#TIME	REQUESTED	bash	cellranger	cr_lib	mrjob	mrp	python	python3	python3.11	slurm_script	sps
1	1	0	0	0	0	0	0	0	0.065	0	0.0096875
2	1	0	0.000347222	0.46875	0	0.0181686	0	0	0.0370312	0	0.00875
3	1	0	0.000161917	0.35625	0	0.010582	0	0	0.0244431	0	0.0084571
4	1	0	0.000106655	0.898926	0	0.0103806	0	0	0.0183778	0	0.00790943
5	1	0	7.95165e-05	0.938453	0.000190549	0.00851542	0	0	0.0147242	0	0.0075174
6	1	0	6.33874e-05	0.948745	0.000118371	0.00741309	0	0	0.0122823	0	0.00725539
7	1	0	5.23451e-05	0.943444	8.49185e-05	0.00658727	0	0	0.0104756	0	0.00698373
8	1	0	4.4835e-05	0.947983	0.000133547	0.00613276	0	0	0.00917751	0	0.00685409
9	1	0	3.92095e-05	0.947953	0.000110035	0.00575347	0	0	0.00816566	0	0.00675303
10	1	0	3.48384e-05	0.949055	9.35629e-05	0.00542413	0	0	0.00735477	0	0.00667205
11	1	0	3.125e-05	0.947592	8.10636e-05	0.00517696	0	0	0.0066723	0	0.00658784
12	1	0	2.84091e-05	0.949412	0.000107635	0.00501825	0	0	0.00612087	0	0.00650826
13	1	0	2.60417e-05	0.950277	9.65499e-05	0.00480769	0	0	0.00565363	0	0.00644084
14	1	0	2.40385e-05	0.951389	0.000116713	0.00467785	0	0	0.00525266	0	0.0064273
15	1	0	2.22737e-05	0.949931	0.000106474	0.00455683	0	0	0.00489508	0	0.00636153
16	1	0	2.07917e-05	0.951359	9.81162e-05	0.00444046	0	0	0.0045916	0	0.00631587
17	1	0	1.94947e-05	0.932765	0	0.00437774	0	0	0.00432356	0	0.00629378
18	1	0	1.83177e-05	0.923254	0	0.00431478	0	0	0.00407833	0	0.00628097
19	1	0	1.72747e-05	0.926778	0.000130753	0.004259	0	0	0.00385943	0	0.00633468
20	1	0	1.63698e-05	0.925793	9.21829e-05	0.00416667	0	0	0.00366828	0	0.00634596
21	1	0	1.5555e-05	0.928887	0.000142369	0.0041303	0	0	0.00349516	0	0.00640042
22	1	0	1.47964e-05	0.927814	0.000115314	0.00407673	0	0	0.00333315	0	0.00642721
23	1	0	1.41275e-05	0.932243	9.7352e-05	0.00404778	0	0	0.0031896	0	0.00647341
24	1	0	1.35164e-05	0.930719	0.000126348	0.0040078	0	0	0.00305791	0	0.00651579
25	1	0	1.294e-05	0.929586	0.000110947	0.0039662	0	0	0.00293317	0	0.00654703
26	1	0	1.24254e-05	0.931184	9.92064e-05	0.00394514	0	0	0.00282143	0	0.00658333
27	1	0	1.19366e-05	0.930254	8.94561e-05	0.00390924	0	0	0.0027149	0	0.00659824
28	1	0	1.14974e-05	0.930069	0.000108885	0.00390337	0	0	0.0026189	0	0.00666328
29	1	0	1.10776e-05	0.930631	9.99201e-05	0.00388268	0	0	0.00252687	0	0.00669567
30	1	0	1.06984e-05	0.932342	9.25241e-05	0.00386742	0	0	0.0024435	0	0.00673251
31	1	0	1.03306e-05	0.831801	0	0.00384806	0	0	0.00236244	0	0.00676834
32	1	0	1e-05	0.885028	0	0.00384492	0	0	0.00228941	0	0.00681994
33	1	0	9.68092e-06	0.90836	0	0.00380932	0	0	0.00221877	0	0.00683418
34	1	0	9.39002e-06	0.918861	9.273e-05	0.00379813	0	0	0.00215423	0	0.00686264
35	1	0	9.10813e-06	0.923082	7.10227e-05	0.00377517	0	0	0.00209157	0	0.00688365
36	1	0	8.85018e-06	0.930845	5.78704e-05	0.00376559	0	0	0.00203413	0	0.00690916
37	1	0	8.59934e-06	0.929773	4.86003e-05	0.00374483	0	0	0.00197817	0	0.00692775
38	1	0	8.36904e-06	0.934472	8.41184e-05	0.00372822	0	0	0.0019267	0	0.00694264
39	1	0	8.15076e-06	0.938538	0.00011121	0.00371247	0	0	0.00187785	0	0.00696469
40	1	0	7.93752e-06	0.936476	9.91015e-05	0.00370264	0	0	0.00183006	0	0.00698048
41	1	0	7.73515e-06	0.93464	0.000119161	0.00369332	0	0	0.00178464	0	0.00699548
42	1	0	7.54831e-06	0.937146	0.00010879	0.00367203	0	0	0.00174265	0	0.00699265
43	1	0	7.37028e-06	0.936875	0.00010008	0.00367387	0	0	0.00170259	0	0.00699713
44	1	0	7.19549e-06	0.937246	0.00011557	0.00366588	0	0	0.0016632	0	0.00700371
45	1	0	7.03354e-06	0.939329	0.00010761	0.00366073	0	0	0.00162667	0	0.00701461
46	1	0	6.87266e-06	0.806818	0	0.0036526	0	0	0.00159035	0	0.00699216
47	1	0	6.72477e-06	0.925517	0	0.0036345	0	0	0.00155692	0	0.00700284
48	1	0	6.58311e-06	0.941792	0	0.00363035	0	0	0.00152486	0	0.00699377
49	1	0	6.44729e-06	0.942661	9.38438e-05	0.00362637	0	0	0.0014941	0	0.00699768
50	1	0	6.31313e-06	0.938217	0.000143349	0.00362035	0	0	0.00146369	0	0.00698493
51	1	0	6.18812e-06	0.943272	0.000116604	0.00359815	0	0	0.00143532	0	0.00697069
52	1	0	6.06796e-06	0.946492	9.82704e-05	0.0036011	0	0	0.00140803	0	0.00695699
53	1	0	5.94898e-06	0.943928	8.45737e-05	0.00358997	0	0	0.00138099	0	0.00694574
54	1	0	5.83785e-06	0.945657	0.00011174	0.00357543	0	0	0.00135571	0	0.006933
55	1	0	5.73079e-06	0.946785	9.98403e-05	0.0035729	0	0	0.00133134	0	0.00691511
56	1	0	5.62759e-06	0.948147	9.0231e-05	0.00356483	0	0	0.00130783	0	0.00690336
57	1	0	5.52511e-06	0.947324	8.20928e-05	0.00354963	0	0	0.00128447	0	0.00688302
58	1	0	5.42912e-06	0.948521	0.000100644	0.00354768	0	0	0.00126257	0	0.00687223
59	1	0	5.33641e-06	0.950121	9.31446e-05	0.00354046	0	0	0.00124141	0	0.0068618
60	1	0	5.24681e-06	0.951456	8.66852e-05	0.00353348	0	0	0.00122094	0	0.00685171
61	1	0	5.15762e-06	0.911932	0	0.00353014	0	0	0.00120056	0	0.00683863
62	1	0	5.07388e-06	0.938756	0	0.00352356	0	0	0.00118141	0	0.00682425
63	1	0	4.99281e-06	0.94837	0	0.00351219	0	0	0.00116286	0	0.00681524
64	1	0	4.91198e-06	0.943719	0.000155473	0.00350444	0	0	0.00114435	0	0.00680335
65	1	0	4.83596e-06	0.946402	0.000124502	0.00350341	0	0	0.00112694	0	0.00679493
66	1	0	4.76227e-06	0.949232	0.000103821	0.00349287	0	0	0.00111005	0	0.00679144
67	1	0	4.69078e-06	0.95219	8.90313e-05	0.00349204	0	0	0.00109366	0	0.00678345
68	1	0	4.61936e-06	0.948525	0.00011646	0.00348968	0	0	0.00107727	0	0.00677273
69	1	0	4.55208e-06	0.950518	0.000103591	0.00347981	0	0	0.00106183	0	0.00676523
70	1	0	4.48672e-06	0.951493	9.32836e-05	0.00347921	0	0	0.00104682	0	0.00675795
71	1	0	4.42321e-06	0.952545	8.48416e-05	0.00347419	0	0	0.00103223	0	0.00675523
