#TIME	REQUESTED	bash	cellranger	cr_lib	mrjob	mrp	python	python3	python3.11	slurm_script	sps
1	10.000000	0	0	0	0	0	0	0	0.0902443	0.00139618	0.00113297
2	10.000000	0.00170898	0.0026474	0.0554161	0.00313568	0.0131912	0	0	0.10022	0.00139618	0.00113297
3	10.000000	0.00170898	0.0026474	0.020237	0.00315475	0.0131912	0	0	0.10022	0.00139618	0.00113297
4	10.000000	0.00170898	0.0026474	0.657341	0.00344467	0.014328	0	0	0.10022	0.00139618	0.00113297
5	10.000000	0.00170898	0.0026474	0.750206	0.00345993	0.014328	0	0	0.10022	0.00139618	0.00113297
6	10.000000	0.00170898	0.0026474	0.824924	0.00340271	0.014328	0	0	0.10022	0.00139618	0.00113297
7	10.000000	0.00170898	0.0026474	0.934132	0.00353241	0.014328	0	0	0.10022	0.00139618	0.00113297
8	10.000000	0.00170898	0.0026474	1.03659	0.00344086	0.014328	0	0	0.10022	0.00139618	0.00113297
9	10.000000	0.00170898	0.0026474	1.02651	0.00279236	0.014328	0	0	0.10022	0.00139618	0.00113297
10	10.000000	0.00170898	0.0026474	1.04983	0.00270081	0.014328	0	0	0.10022	0.00139618	0.00123215
11	10.000000	0.00170898	0.0026474	1.07536	0.00260925	0.014328	0	0	0.10022	0.00139618	0.00123215
12	10.000000	0.00170898	0.0026474	1.11058	0.00268936	0.014328	0	0	0.10022	0.00139618	0.00123215
13	10.000000	0.00170898	0.0026474	1.17726	0.00271606	0.014328	0	0	0.10022	0.00139618	0.00123215
14	10.000000	0.00170898	0.0026474	1.19029	0.00259399	0.014328	0	0	0.10022	0.00139618	0.00123215
15	10.000000	0.00170898	0.0026474	1.19043	0.0027771	0.014328	0	0	0.10022	0.00139618	0.00123215
16	10.000000	0.00170898	0.0026474	1.19043	0.00268555	0.014328	0	0	0.10022	0.00139618	0.00123215
17	10.000000	0.00170898	0.0026474	0.558098	0.0035553	0.014328	0	0	0.10022	0.00139618	0.00123215
18	10.000000	0.00170898	0.0026474	0.756355	0.003479	0.014328	0	0	0.10022	0.00139618	0.00128174
19	10.000000	0.00170898	0.0026474	0.854065	0.003479	0.014328	0	0	0.10022	0.00139618	0.00131989
20	10.000000	0.00170898	0.0026474	0.9758	0.003479	0.014328	0	0	0.10022	0.00139618	0.00131989
21	10.000000	0.00170898	0.0026474	1.02714	0.003479	0.014328	0	0	0.10022	0.00139618	0.00131989
22	10.000000	0.00170898	0.0026474	1.05567	0.003479	0.014328	0	0	0.10022	0.00139618	0.00131989
23	10.000000	0.00170898	0.0026474	1.0868	0.003479	0.014328	0	0	0.10022	0.00139618	0.00131989
24	10.000000	0.00170898	0.0026474	1.11455	0.003479	0.0143929	0	0	0.10022	0.00139618	0.00131989
25	10.000000	0.00170898	0.0026474	1.13996	0.003479	0.0143929	0	0	0.10022	0.00139618	0.00131989
26	10.000000	0.00170898	0.0026474	1.19236	0.003479	0.0143929	0	0	0.10022	0.00139618	0.00131989
27	10.000000	0.00170898	0.0026474	1.19236	0.003479	0.0143929	0	0	0.10022	0.00139618	0.00131989
28	10.000000	0.00170898	0.0026474	1.19236	0.003479	0.0143929	0	0	0.10022	0.00139618	0.00131989
29	10.000000	0.00170898	0.0026474	1.21048	0.003479	0.0143929	0	0	0.10022	0.00139618	0.00131989
30	10.000000	0.00170898	0.0026474	1.19236	0.003479	0.0143929	0	0	0.10022	0.00139618	0.00136566
31	10.000000	0.00170898	0.0026474	0.525158	0.00356293	0.0145874	0	0	0.10022	0.00139618	0.00136566
32	10.000000	0.00170898	0.0026474	0.730396	0.00337982	0.0145874	0	0	0.10022	0.00139618	0.00136566
33	10.000000	0.00170898	0.0026474	0.814137	0.00337982	0.0145874	0	0	0.10022	0.00139618	0.00136566
34	10.000000	0.00170898	0.0026474	0.932053	0.00337982	0.0145874	0	0	0.10022	0.00139618	0.00136566
35	10.000000	0.00170898	0.0026474	1.00955	0.00337982	0.0145874	0	0	0.10022	0.00139618	0.00136566
36	10.000000	0.00170898	0.0026474	1.03619	0.00337982	0.0145874	0	0	0.10022	0.00139618	0.00136566
37	10.000000	0.00170898	0.0026474	1.06027	0.00337982	0.0145874	0	0	0.10022	0.00139618	0.00136566
38	10.000000	0.00170898	0.0026474	1.09386	0.00337982	0.0145874	0	0	0.10022	0.00139618	0.00136566
39	10.000000	0.00170898	0.0026474	1.11472	0.00337982	0.0145874	0	0	0.10022	0.00139618	0.00136566
40	10.000000	0.00170898	0.0026474	1.13567	0.00337982	0.0145874	0	0	0.10022	0.00139618	0.00136566
41	10.000000	0.00170898	0.0026474	1.18792	0.00337982	0.0145874	0	0	0.10022	0.00139618	0.00136566
42	10.000000	0.00170898	0.0026474	1.20623	0.00337982	0.0145874	0	0	0.10022	0.00139618	0.00151062
43	10.000000	0.00170898	0.0026474	1.18792	0.00337982	0.0145874	0	0	0.10022	0.00139618	0.00151062
44	10.000000	0.00170898	0.0026474	1.19156	0.00337982	0.0145874	0	0	0.10022	0.00139618	0.00151062
45	10.000000	0.00170898	0.0026474	1.19196	0.00337982	0.0145874	0	0	0.10022	0.00139618	0.00151062
46	10.000000	0.00170898	0.0026474	0.55703	0.0035553	0.014534	0	0	0.10022	0.00139618	0.00151062
47	10.000000	0.00170898	0.0026474	0.780811	0.003479	0.0145721	0	0	0.10022	0.00139618	0.00151062
48	10.000000	0.00170898	0.0026474	0.818001	0.003479	0.0145721	0	0	0.10022	0.00139618	0.00151062
49	10.000000	0.00170898	0.0026474	0.937317	0.003479	0.0145721	0	0	0.10022	0.00139618	0.00151062
50	10.000000	0.00170898	0.0026474	1.01369	0.003479	0.0145721	0	0	0.10022	0.00139618	0.00151062
51	10.000000	0.00170898	0.0026474	1.03749	0.003479	0.014576	0	0	0.10022	0.00139618	0.00151062
52	10.000000	0.00170898	0.0026474	1.06412	0.003479	0.014576	0	0	0.10022	0.00139618	0.00154495
53	10.000000	0.00170898	0.0026474	1.08979	0.003479	0.014576	0	0	0.10022	0.00139618	0.00154495
54	10.000000	0.00170898	0.0026474	1.13656	0.003479	0.014576	0	0	0.10022	0.00139618	0.00154495
55	10.000000	0.00170898	0.0026474	1.13465	0.003479	0.014576	0	0	0.10022	0.00139618	0.00154495
56	10.000000	0.00170898	0.0026474	1.1869	0.003479	0.014576	0	0	0.10022	0.00139618	0.00154495
57	10.000000	0.00170898	0.0026474	1.1869	0.003479	0.014576	0	0	0.10022	0.00139618	0.00154495
58	10.000000	0.00170898	0.0026474	1.1869	0.003479	0.014576	0	0	0.10022	0.00139618	0.00154495
59	10.000000	0.00170898	0.0026474	1.22334	0.003479	0.014576	0	0	0.10022	0.00139618	0.00154495
60	10.000000	0.00170898	0.0026474	1.18693	0.003479	0.014576	0	0	0.10022	0.00139618	0.00154495
61	10.000000	0.00170898	0.0026474	0.714451	0.00348663	0.0145988	0	0	0.10022	0.00139618	0.00154495
62	10.000000	0.00170898	0.0026474	0.796837	0.00348663	0.0145988	0	0	0.10022	0.00139618	0.00154495
63	10.000000	0.00170898	0.0026474	0.924969	0.00348663	0.0145988	0	0	0.10022	0.00139618	0.00154495
64	10.000000	0.00170898	0.0026474	0.995846	0.00348663	0.0145988	0	0	0.10022	0.00139618	0.00154495
65	10.000000	0.00170898	0.0026474	1.03959	0.00348663	0.0145988	0	0	0.10022	0.00139618	0.00154495
66	10.000000	0.00170898	0.0026474	1.06785	0.00348663	0.0145988	0	0	0.10022	0.00139618	0.00154495
67	10.000000	0.00170898	0.0026474	1.09444	0.00348663	0.0146141	0	0	0.10022	0.00139618	0.00154495
68	10.000000	0.00170898	0.0026474	1.12294	0.00348663	0.0146141	0	0	0.10022	0.00139618	0.00154495
69	10.000000	0.00170898	0.0026474	1.13976	0.00348663	0.0146141	0	0	0.10022	0.00139618	0.00154495
70	10.000000	0.00170898	0.0026474	1.19201	0.00348663	0.0146141	0	0	0.10022	0.00139618	0.00154495
71	10.000000	0.00170898	0.0026474	1.19201	0.00348663	0.0146141	0	0	0.10022	0.00139618	0.00154495
72	10.000000	0.00170898	0.0026474	1.19201	0.00348663	0.0146141	0	0	0.10022	0.00139618	0.00154495
73	10.000000	0.00170898	0.0026474	1.19201	0.00348663	0.0146141	0	0	0.10022	0.00139618	0.00164032
74	10.000000	0.00170898	0.0026474	1.19201	0.00348663	0.0146141	0	0	0.10022	0.00139618	0.00164032
75	10.000000	0.00170898	0.0026474	0.663071	0.00345612	0.0145531	0	0	0.10022	0.00139618	0.00164032
76	10.000000	0.00170898	0.0026474	0.78978	0.003479	0.0145531	0	0	0.10022	0.00139618	0.00164032
77	10.000000	0.00170898	0.0026474	0.946362	0.003479	0.0145531	0	0	0.10022	0.00139618	0.00164032
78	10.000000	0.00170898	0.0026474	1.05616	0.003479	0.0145531	0	0	0.10022	0.00139618	0.00164032
79	10.000000	0.00170898	0.0026474	1.05482	0.003479	0.0145531	0	0	0.10022	0.00139618	0.00164032
80	10.000000	0.00170898	0.0026474	1.0979	0.003479	0.0145531	0	0	0.10022	0.00139618	0.00164032
81	10.000000	0.00170898	0.0026474	1.13359	0.003479	0.0145531	0	0	0.10022	0.00139618	0.00164032
82	10.000000	0.00170898	0.0026474	1.18878	0.003479	0.0145531	0	0	0.10022	0.00139618	0.00164032
83	10.000000	0.00170898	0.0026474	1.18878	0.003479	0.0145531	0	0	0.10022	0.00139618	0.00164032
84	10.000000	0.00170898	0.0026474	1.18878	0.003479	0.0145531	0	0	0.10022	0.00139618	0.00164032
85	10.000000	0.00170898	0.0026474	1.1854	0.003479	0.0145531	0	0	0.10022	0.00139618	0.00164032
86	10.000000	0.00170898	0.0026474	1.1854	0.003479	0.0145531	0	0	0.10022	0.00139618	0.00164032
87	10.000000	0.00170898	0.0026474	0.698269	0.00350952	0.0145531	0	0	0.10022	0.00139618	0.00164032
88	10.000000	0.00170898	0.0026474	0.778599	0.00344849	0.0145531	0	0	0.10022	0.00139618	0.00181961
89	10.000000	0.00170898	0.0026474	0.869587	0.00360489	0.0145531	0	0	0.10022	0.00139618	0.00181961
90	10.000000	0.00170898	0.0026474	0.986492	0.00351334	0.0145531	0	0	0.10022	0.00139618	0.00181961
91	10.000000	0.00170898	0.0026474	1.03004	0.00349426	0.0145531	0	0	0.10022	0.00139618	0.00181961
92	10.000000	0.00170898	0.0026474	1.05733	0.00343323	0.0145531	0	0	0.10022	0.00139618	0.00181961
93	10.000000	0.00170898	0.0026474	1.08384	0.00358963	0.0145531	0	0	0.10022	0.00139618	0.00181961
94	10.000000	0.00170898	0.0026474	1.11097	0.00349808	0.0145531	0	0	0.10022	0.00139618	0.00181961
95	10.000000	0.00170898	0.0026474	1.14009	0.00337601	0.0145531	0	0	0.10022	0.00139618	0.00181961
96	10.000000	0.00170898	0.0026474	1.19234	0.00353622	0.0145531	0	0	0.10022	0.00139618	0.00181961
97	10.000000	0.00170898	0.0026474	1.19234	0.00344467	0.0145531	0	0	0.10022	0.00139618	0.00181961
98	10.000000	0.00170898	0.0026474	1.1925	0.00358582	0.0145531	0	0	0.10022	0.00139618	0.00181961
99	10.000000	0.00170898	0.0026474	1.1926	0.00349426	0.0145531	0	0	0.10022	0.00139618	0.00181961
100	10.000000	0.00170898	0.0026474	1.21117	0.00337219	0.0145531	0	0	0.10022	0.00139618	0.00181961
101	10.000000	0.00170898	0.0026474	0.665813	0.00335312	0.014431	0	0	0.10022	0.00139618	0.00181961
102	10.000000	0.00170898	0.0026474	0.772694	0.003479	0.014431	0	0	0.10022	0.00139618	0.00181961
103	10.000000	0.00170898	0.0026474	0.864464	0.003479	0.014431	0	0	0.10022	0.00139618	0.00188446
104	10.000000	0.00170898	0.0026474	0.978195	0.003479	0.014431	0	0	0.10022	0.00139618	0.00188828
105	10.000000	0.00170898	0.0026474	1.03455	0.003479	0.014431	0	0	0.10022	0.00139618	0.00188828
106	10.000000	0.00170898	0.0026474	1.07212	0.003479	0.0144424	0	0	0.10022	0.00139618	0.00188828
107	10.000000	0.00170898	0.0026474	1.08985	0.003479	0.0144424	0	0	0.10022	0.00139618	0.00188828
108	10.000000	0.00170898	0.0026474	1.11795	0.003479	0.0144424	0	0	0.10022	0.00139618	0.00188828
109	10.000000	0.00170898	0.0026474	1.14016	0.003479	0.0144424	0	0	0.10022	0.00139618	0.00188828
110	10.000000	0.00170898	0.0026474	1.19241	0.003479	0.0144424	0	0	0.10022	0.00139618	0.00188828
111	10.000000	0.00170898	0.0026474	1.19241	0.003479	0.0144424	0	0	0.10022	0.00139618	0.00188828
112	10.000000	0.00170898	0.0026474	1.19241	0.003479	0.0144424	0	0	0.10022	0.00139618	0.00188828
113	10.000000	0.00170898	0.0026474	1.19241	0.003479	0.0144424	0	0	0.10022	0.00139618	0.00188828
114	10.000000	0.00170898	0.0026474	1.19009	0.00244904	0.0144424	0	0	0.101692	0.00139618	0.00188828
115	10.000000	0.00170898	0.0026474	0.22884	0.00637054	0.0200615	0	0	0.101692	0.00139618	0.00188828
116	10.000000	0.00170898	0.0026474	0.0126266	0.00579071	0.0192719	0	0	0.101692	0.00139618	0.00188828
117	10.000000	0.00170898	0.0026474	0.563251	0.00851059	0.0192719	0	0	0.101692	0.00139618	0.00188828
118	10.000000	0.00170898	0.0026474	0.461159	0.00851059	0.0192719	0	0	0.101692	0.00139618	0.00188828
119	10.000000	0.00170898	0.0026474	0.434528	0.00851059	0.0192108	0	0	0.101692	0.00139618	0.00188828
120	10.000000	0.00170898	0.0026474	0.435692	0.00850677	0.0190887	0	0	0.101692	0.00139618	0.00188828
121	10.000000	0.00170898	0.0026474	0.424545	0.00851059	0.0189667	0	0	0.101692	0.00139618	0.00188828
122	10.000000	0.00170898	0.0026474	0.486397	0.00656509	0.0188446	0	0	0.101692	0.00139618	0.00188828
123	10.000000	0.00170898	0.0026474	0.537052	0.00657272	0.0187225	0	0	0.101692	0.00139618	0.00188828
124	10.000000	0.00170898	0.0026474	0.395092	0.00656891	0.0187225	0	0	0.101692	0.00139618	0.00188828
125	10.000000	0.00170898	0.0026474	0.346298	0.00656891	0.0186005	0	0	0.101692	0.00139618	0.00188828
126	10.000000	0.00170898	0.0026474	1.68668	0.00626755	0.0205307	0	0	0.101692	0.00139618	0.00188828
127	10.000000	0.00170898	0.0026474	1.76023	0.0062294	0.0205307	0	0	0.101692	0.00139618	0.00188828
128	10.000000	0.00170898	0.0026474	1.80418	0.00636292	0.0205307	0	0	0.101692	0.00139618	0.00188828
129	10.000000	0.00170898	0.0026474	1.86822	0.00627136	0.0205307	0	0	0.101692	0.00139618	0.00191498
130	10.000000	0.00170898	0.0026474	1.88022	0.00632858	0.0205307	0	0	0.101692	0.00139618	0.00191498
131	10.000000	0.00170898	0.0026474	1.88959	0.00623703	0.0206795	0	0	0.101692	0.00139618	0.00191498
132	10.000000	0.00170898	0.0026474	1.90489	0.00639343	0.0206795	0	0	0.101692	0.00139618	0.00191498
133	10.000000	0.00170898	0.0026474	1.90489	0.00630188	0.0206795	0	0	0.101692	0.00139618	0.00191498
134	10.000000	0.00170898	0.0026474	1.90489	0.00629807	0.0206795	0	0	0.101692	0.00139618	0.00191498
135	10.000000	0.00170898	0.0026474	1.93158	0.00617599	0.0206795	0	0	0.101692	0.00139618	0.00191498
136	10.000000	0.00170898	0.0026474	1.9966	0.0063324	0.0206795	0	0	0.101692	0.00139618	0.00191498
137	10.000000	0.00170898	0.0026474	1.91651	0.0063591	0.0206795	0	0	0.101692	0.00139618	0.00191498
138	10.000000	0.00170898	0.0026474	1.91655	0.00629807	0.0206795	0	0	0.101692	0.00139618	0.00191498
139	10.000000	0.00170898	0.0026474	1.91667	0.00620651	0.0206795	0	0	0.101692	0.00139618	0.00191498
140	10.000000	0.00170898	0.0026474	1.91667	0.0063324	0.0206795	0	0	0.101692	0.00139618	0.00191498
141	10.000000	0.00170898	0.0026474	1.91668	0.00632858	0.0206795	0	0	0.101692	0.00139618	0.00191498
142	10.000000	0.00170898	0.0026474	1.91668	0.00624847	0.0206795	0	0	0.101692	0.00139618	0.00191498
143	10.000000	0.00170898	0.0026474	1.91683	0.00640488	0.0206795	0	0	0.101692	0.00139618	0.00191498
144	10.000000	0.00170898	0.0026474	1.91683	0.00631332	0.0206795	0	0	0.101692	0.00139618	0.00191498
145	10.000000	0.00170898	0.0026474	1.91683	0.00629807	0.0206795	0	0	0.101692	0.00139618	0.00191498
146	10.000000	0.00170898	0.0026474	1.91683	0.00620651	0.0206795	0	0	0.101692	0.00139618	0.00191498
147	10.000000	0.00170898	0.0026474	1.91699	0.00636292	0.0206795	0	0	0.101692	0.00139618	0.00191498
148	10.000000	0.00170898	0.0026474	2.19576	0.00627136	0.0206795	0	0	0.101692	0.00139618	0.00191498
149	10.000000	0.00170898	0.0026474	2.266	0.00626755	0.0206795	0	0	0.101692	0.00139618	0.00191498
150	10.000000	0.00170898	0.0026474	2.32741	0.00617599	0.0206795	0	0	0.101692	0.00139618	0.00191498
151	10.000000	0.00170898	0.0026474	2.38922	0.0063324	0.0206795	0	0	0.101692	0.00139618	0.00191498
152	10.000000	0.00170898	0.0026474	2.4627	0.0063591	0.0206795	0	0	0.101692	0.00139618	0.00191498
153	10.000000	0.00170898	0.0026474	2.55837	0.00626755	0.0206795	0	0	0.101692	0.00139618	0.00191498
