#TIME	REQUESTED	bash	cellranger	cr_lib	mrjob	mrp	python	python3	python3.11	slurm_script	sps
1	0	0	0	0	0	0	0	0	1.14441e-05	3.8147e-06	0.000473022
2	0	0	1.56648e-06	3.14135e-06	3.59491e-06	0.000399615	0	0	1.90735e-05	3.8147e-06	0.000968933
3	0	0	1.56648e-06	3.83146e-06	3.8445e-06	0.0245933	0	0	1.90735e-05	3.8147e-06	0.00146484
4	0	0	1.56648e-06	4.21144e-06	3.8445e-06	0.0245933	0	0	1.90735e-05	3.8147e-06	0.00196457
5	0	0	1.56648e-06	3.23448e-06	3.77558e-06	0.0516578	0	0	1.90735e-05	3.8147e-06	0.00246429
6	0	0	1.56648e-06	0.156229	3.77558e-06	0.0516578	0	0	1.90735e-05	3.8147e-06	0.00296021
7	0	0	1.56648e-06	0.313186	3.77558e-06	0.0516578	0	0	1.90735e-05	3.8147e-06	0.00345993
8	0	0	1.56648e-06	0.470001	3.77558e-06	0.0516578	0	0	1.90735e-05	3.8147e-06	0.00395584
9	0	0	1.56648e-06	0.625418	3.79328e-06	0.0516578	0	0	1.90735e-05	3.8147e-06	0.00445175
10	0	0	1.56648e-06	0.781965	3.79328e-06	0.0516578	0	0	1.90735e-05	3.8147e-06	0.00495148
11	0	0	1.56648e-06	0.937245	3.79328e-06	0.0516578	0	0	1.90735e-05	3.8147e-06	0.00545502
12	0	0	1.56648e-06	1.09025	3.79328e-06	0.0516578	0	0	1.90735e-05	3.8147e-06	0.00594711
13	0	0	1.56648e-06	1.25002	3.81097e-06	0.0516578	0	0	1.90735e-05	3.8147e-06	0.00644684
14	0	0	1.56648e-06	1.40942	3.81097e-06	0.0516578	0	0	1.90735e-05	3.8147e-06	0.00694275
15	0	0	1.56648e-06	1.56834	3.81097e-06	0.0516578	0	0	1.90735e-05	3.8147e-06	0.00744247
16	0	0	1.56648e-06	1.72713	3.82867e-06	0.0516618	0	0	1.90735e-05	3.8147e-06	0.00793839
17	0	0	1.56648e-06	1.88444	3.82867e-06	0.0516618	0	0	1.90735e-05	3.8147e-06	0.0084343
18	0	0	1.56648e-06	2.12678	3.82867e-06	0.0516618	0	0	1.90735e-05	3.8147e-06	0.00893402
19	0	0	1.56648e-06	2.28349	3.82867e-06	0.0516618	0	0	1.90735e-05	3.8147e-06	0.00943375
20	0	0	1.56648e-06	2.43986	3.84636e-06	0.0516618	0	0	1.90735e-05	3.8147e-06	0.00992966
21	0	0	1.56648e-06	2.59622	3.84636e-06	0.0516618	0	0	1.90735e-05	3.8147e-06	0.0104294
22	0	0	1.56648e-06	2.75254	3.84636e-06	0.0516618	0	0	1.90735e-05	3.8147e-06	0.0109215
23	0	0	1.56648e-06	2.91005	3.84636e-06	0.0516618	0	0	1.90735e-05	3.8147e-06	0.011425
24	0	0	1.56648e-06	3.0664	3.86406e-06	0.0516618	0	0	1.90735e-05	3.8147e-06	0.0119247
25	0	0	1.56648e-06	3.22328	3.86406e-06	0.0516618	0	0	1.90735e-05	3.8147e-06	0.0124207
26	0	0	1.56648e-06	3.37968	3.86406e-06	0.0516618	0	0	1.90735e-05	3.8147e-06	0.0129166
27	0	0	1.56648e-06	3.56768	3.88175e-06	0.0516658	0	0	1.90735e-05	3.8147e-06	0.0134125
28	0	0	1.56648e-06	3.74867	3.88175e-06	0.0516658	0	0	1.90735e-05	3.8147e-06	0.0139084
